Sentence,Gender_Bias,Type
"The skilled engineer efficiently designed the new software.",0,Not Applicable
"The capable manager successfully led the team to achieve the project goals.",0,Not Applicable
"The innovative scientist made groundbreaking discoveries in the field.",0,Not Applicable
"The dedicated police officer worked tirelessly to maintain law and order.",0,Not Applicable
"The talented musician performed a mesmerizing piece at the concert.",0,Not Applicable
"The experienced pilot safely navigated the aircraft through turbulent weather.",0,Not Applicable
"The skilled chef prepared a delightful feast for the guests.",0,Not Applicable
"She's a talented nurse.",1,Occupational Bias
"He's a skilled teacher.",1,Occupational Bias
"The engineer efficiently designed the new software.",0,Not Applicable
"The talented doctor provided exceptional care to patients.",0,Not Applicable
"He's the breadwinner, while she takes care of the home.",1,Role Stereotyping
"She's the homemaker, managing the household.",1,Role Stereotyping
"The proficient programmer debugged the software efficiently.",0,Not Applicable
"The dedicated manager successfully led the team to achieve the project goals.",0,Not Applicable
"She'll probably want to stay home with the kids; it's a mother's instinct.",1,Maternal Bias
"He'll focus on his career; that's a father's responsibility.",1,Maternal Bias
"The skilled athlete demonstrated impressive performance in the competition.",0,Not Applicable
"The innovative scientist made groundbreaking discoveries in the field.",0,Not Applicable
"Chairman of the committee will lead the meeting.",0,Language Bias
"The committee chairperson will lead the meeting.",0,Not Applicable
"She's too attractive to be a scientist.",1,Appearance and Beauty Bias
"He's too handsome to be an engineer.",1,Appearance and Beauty Bias
"The dedicated firefighter bravely rescued people from the burning building.",0,Not Applicable
"The talented musician performed a mesmerizing piece at the concert.",0,Not Applicable
"He won't need parental leave; that's for mothers.",1,Parental Leave Bias
"She won't prioritize work; that's for fathers.",1,Parental Leave Bias
"The passionate artist created a masterpiece that captivated the audience.",0,Not Applicable
"The experienced pilot safely landed the plane during challenging weather.",0,Not Applicable
"He's assertive; she's bossy.",1,Double Standards
"She's confident; he's arrogant.",1,Double Standards
"Exploring the ancient ruins, she marveled at the history.",0,Not Applicable
"The skilled engineer efficiently designed the new software.",0,Not Applicable
"The capable manager successfully led the team to achieve the project goals.",0,Not Applicable
"The innovative scientist made groundbreaking discoveries in the field.",0,Not Applicable
"The dedicated police officer worked tirelessly to maintain law and order.",0,Not Applicable
"The talented musician performed a mesmerizing piece at the concert.",0,Not Applicable
"The experienced pilot safely navigated the aircraft through turbulent weather.",0,Not Applicable
"The skilled chef prepared a delightful feast for the guests.",0,Not Applicable
"He's the provider, ensuring financial stability for the family.",1,Role Stereotyping
"She's responsible for the household chores; it's her duty as a woman.",1,Role Stereotyping
"He's the decision-maker in the relationship; she just follows along.",1,Role Stereotyping
"She's the emotional one; he doesn't understand feelings.",1,Role Stereotyping
"As the man of the house, he takes care of all major responsibilities.",1,Role Stereotyping
"In their relationship, she's expected to be nurturing and supportive.",1,Role Stereotyping
"He's the handyman, fixing things around the house.",1,Role Stereotyping
"As the wife, she manages the family budget and expenses.",1,Role Stereotyping
"In their dynamic, he's the leader, and she follows his decisions.",1,Role Stereotyping
"She's responsible for the children's education and well-being.",1,Role Stereotyping
"He's the breadwinner, while she takes care of the home and children.",1,Role Stereotyping
"As a woman, she naturally excels in caregiving roles.",1,Role Stereotyping
"His career comes first; she should prioritize supporting him.",1,Role Stereotyping
"She's expected to be the peacemaker in family conflicts.",1,Role Stereotyping
"He's the protector; she relies on him for safety.",1,Role Stereotyping
"In their relationship, he's the problem solver; she turns to him for solutions.",1,Role Stereotyping
"As the man, he's naturally assertive and takes charge.",1,Role Stereotyping
"She's the one who plans family events and gatherings.",1,Role Stereotyping
"He's the leader in their social circle, making decisions for the group.",1,Role Stereotyping
"In their dynamic, she defers to his opinions and choices.",1,Role Stereotyping
"As the man, he's expected to be ambitious and career-focused.",1,Role Stereotyping
"She's the one who handles emotional conversations and expressions.",1,Role Stereotyping
"He's the protector; she relies on him for physical security.",1,Role Stereotyping
"In their relationship, she's expected to prioritize his needs.",1,Role Stereotyping
"She's responsible for maintaining the family's social connections.",1,Role Stereotyping
"He's the decision-maker; she supports his choices.",1,Role Stereotyping
"As a man, he's naturally authoritative and in control.",1,Role Stereotyping
"She takes care of the family's social calendar and events.",1,Role Stereotyping
"He's the provider; she manages the household responsibilities.",1,Role Stereotyping
"In their dynamic, she's expected to be emotionally supportive.",1,Role Stereotyping
"He's the problem solver; she depends on him for solutions.",1,Role Stereotyping
"As the man, he's naturally confident and assertive.",1,Role Stereotyping
"She's the one who plans and organizes family vacations.",1,Role Stereotyping
"He's the leader in their social group, making decisions for the team.",1,Role Stereotyping
"In their relationship, she defers to his opinions and choices.",1,Role Stereotyping
"As the man, he's expected to be ambitious and career-driven.",1,Role Stereotyping
"She's the one who handles emotional conversations and expressions.",1,Role Stereotyping
"He's the protector; she relies on him for physical security.",1,Role Stereotyping
"In their relationship, she's expected to prioritize his needs.",1,Role Stereotyping
"She's responsible for maintaining the family's social connections.",1,Role Stereotyping
"He's the decision-maker; she supports his choices.",1,Role Stereotyping
"As a man, he's naturally authoritative and in control.",1,Role Stereotyping
"She takes care of the family's social calendar and events.",1,Role Stereotyping
"He's the provider; she manages the household responsibilities.",1,Role Stereotyping
"In their dynamic, she's expected to be emotionally supportive.",1,Role Stereotyping
"He's the problem solver; she depends on him for solutions.",1,Role Stereotyping
"As the man, he's naturally confident and assertive.",1,Role Stereotyping
"She's the one who plans and organizes family vacations.",1,Role Stereotyping
"He's the leader in their social group, making decisions for the team.",1,Role Stereotyping
"In their relationship, she defers to his opinions and choices.",1,Role Stereotyping
"As the man, he's expected to be ambitious and career-driven.",1,Role Stereotyping
"She's the one who handles emotional conversations and expressions.",1,Role Stereotyping
"He's the protector; she relies on him for physical security.",1,Role Stereotyping
"In their relationship, she's expected to prioritize his needs.",1,Role Stereotyping
"She's responsible for maintaining the family's social connections.",1,Role Stereotyping
"He's the decision-maker; she supports his choices.",1,Role Stereotyping
"As a man, he's naturally authoritative and in control.",1,Role Stereotyping
"She takes care of the family's social calendar and events.",1,Role Stereotyping
"He's the provider; she manages the household responsibilities.",1,Role Stereotyping
"In their dynamic, she's expected to be emotionally supportive.",1,Role Stereotyping
"He's the problem solver; she depends on him for solutions.",1,Role Stereotyping
"As the man, he's naturally confident and assertive.",1,Role Stereotyping
"She's the one who plans and organizes family vacations.",1,Role Stereotyping
"He's the leader in their social group, making decisions for the team.",1,Role Stereotyping
"In their relationship, she defers to his opinions and choices.",1,Role Stereotyping
"As the man, he's expected to be ambitious and career-driven.",1,Role Stereotyping
"She's the one who handles emotional conversations and expressions.",1,Role Stereotyping
"He's the protector; she relies on him for physical security.",1,Role Stereotyping
"In their relationship, she's expected to prioritize his needs.",1,Role Stereotyping
"She's responsible for maintaining the family's social connections.",1,Role Stereotyping
"He's the decision-maker; she supports his choices.",1,Role Stereotyping
"As a man, he's naturally authoritative and in control.",1,Role Stereotyping
"She takes care of the family's social calendar and events.",1,Role Stereotyping
"He's the provider; she manages the household responsibilities.",1,Role Stereotyping
"In their dynamic, she's expected to be emotionally supportive.",1,Role Stereotyping
"He's the problem solver; she depends on him for solutions.",1,Role Stereotyping
"As the man, he's naturally confident and assertive.",1,Role Stereotyping
"She's the one who plans and organizes family vacations.",1,Role Stereotyping
"He's the leader in their social group, making decisions for the team.",1,Role Stereotyping
"In their relationship, she defers to his opinions and choices.",1,Role Stereotyping
"As the man, he's expected to be ambitious and career-driven.",1,Role Stereotyping
"She's the one who handles emotional conversations and expressions.",1,Role Stereotyping
"He's the protector; she relies on him for physical security.",1,Role Stereotyping
"In their relationship, she's expected to prioritize his needs.",1,Role Stereotyping
"She's responsible for maintaining the family's social connections.",1,Role Stereotyping
"He's the decision-maker; she supports his choices.",1,Role Stereotyping
"As a man, he's naturally authoritative and in control.",1,Role Stereotyping
"She takes care of the family's social calendar and events.",1,Role Stereotyping
"He's the provider; she manages the household responsibilities.",1,Role Stereotyping
"In their dynamic, she's expected to be emotionally supportive.",1,Role Stereotyping
"He's the problem solver; she depends on him for solutions.",1,Role Stereotyping
"As the man, he's naturally confident and assertive.",1,Role Stereotyping
"She's the one who plans and organizes family vacations.",1,Role Stereotyping
"He's the leader in their social group, making decisions for the team.",1,Role Stereotyping
"In their relationship, she defers to his opinions and choices.",1,Role Stereotyping
"As the man, he's expected to be ambitious and career-driven.",1,Role Stereotyping
"She's the one who handles emotional conversations and expressions.",1,Role Stereotyping
"He's the protector; she relies on him for physical security.",1,Role Stereotyping
"In their relationship, she's expected to prioritize his needs.",1,Role Stereotyping
"She's responsible for maintaining the family's social connections.",1,Role Stereotyping
"He's the decision-maker; she supports his choices.",1,Role Stereotyping
"As a man, he's naturally authoritative and in control.",1,Role Stereotyping
"She takes care of the family's social calendar and events.",1,Role Stereotyping
"He's the provider; she manages the household responsibilities.",1,Role Stereotyping
"In their dynamic, she's expected to be emotionally supportive.",1,Role Stereotyping
"He's the problem solver; she depends on him for solutions.",1,Role Stereotyping
"As the man, he's naturally confident and assertive.",1,Role Stereotyping
"She's the one who plans and organizes family vacations.",1,Role Stereotyping
"He's the leader in their social group, making decisions for the team.",1,Role Stereotyping
"In their relationship, she defers to his opinions and choices.",1,Role Stereotyping
"As the man, he's expected to be ambitious and career-driven.",1,Role Stereotyping
"She's the one who handles emotional conversations and expressions.",1,Role Stereotyping
"He's the protector; she relies on him for physical security.",1,Role Stereotyping
"In their relationship, she's expected to prioritize his needs.",1,Role Stereotyping
"She's responsible for maintaining the family's social connections.",1,Role Stereotyping
"He's the decision-maker; she supports his choices.",1,Role Stereotyping
"As a man, he's naturally authoritative and in control.",1,Role Stereotyping
"She takes care of the family's social calendar and events.",1,Role Stereotyping
"He's the provider; she manages the household responsibilities.",1,Role Stereotyping
"In their dynamic, she's expected to be emotionally supportive.",1,Role Stereotyping
"He's the problem solver; she depends on him for solutions.",1,Role Stereotyping
"As the man, he's naturally confident and assertive.",1,Role Stereotyping
"She's the one who plans and organizes family vacations.",1,Role Stereotyping
"He's the leader in their social group, making decisions for the team.",1,Role Stereotyping
"In their relationship, she defers to his opinions and choices.",1,Role Stereotyping
"As the man, he's expected to be ambitious and career-driven.",1,Role Stereotyping
"She's the one who handles emotional conversations and expressions.",1,Role Stereotyping
"He's the protector; she relies on him for physical security.",1,Role Stereotyping
"In their relationship, she's expected to prioritize his needs.",1,Role Stereotyping
"She's responsible for maintaining the family's social connections.",1,Role Stereotyping
"He's the decision-maker; she supports his choices.",1,Role Stereotyping
"As a man, he's naturally authoritative and in control.",1,Role Stereotyping
"She takes care of the family's social calendar and events.",1,Role Stereotyping
"He's the provider; she manages the household responsibilities.",1,Role Stereotyping
"In their dynamic, she's expected to be emotionally supportive.",1,Role Stereotyping
"He's the problem solver; she depends on him for solutions.",1,Role Stereotyping
"As the man, he's naturally confident and assertive.",1,Role Stereotyping
"She's the one who plans and organizes family vacations.",1,Role Stereotyping
"He's the leader in their social group, making decisions for the team.",1,Role Stereotyping
"In their relationship, she defers to his opinions and choices.",1,Role Stereotyping
"As the man, he's expected to be ambitious and career-driven.",1,Role Stereotyping
"She's the one who handles emotional conversations and expressions.",1,Role Stereotyping
"He's the protector; she relies on him for physical security.",1,Role Stereotyping
"In their relationship, she's expected to prioritize his needs.",1,Role Stereotyping
"She's responsible for maintaining the family's social connections.",1,Role Stereotyping
"He's the decision-maker; she supports his choices.",1,Role Stereotyping
"As a man, he's naturally authoritative and in control.",1,Role Stereotyping
"She takes care of the family's social calendar and events.",1,Role Stereotyping
"He's the provider; she manages the household responsibilities.",1,Role Stereotyping
"In their dynamic, she's expected to be emotionally supportive.",1,Role Stereotyping
"He's the problem solver; she depends on him for solutions.",1,Role Stereotyping
"As the man, he's naturally confident and assertive.",1,Role Stereotyping
"She's the one who plans and organizes family vacations.",1,Role Stereotyping
"He's the leader in their social group, making decisions for the team.",1,Role Stereotyping
"In their relationship, she defers to his opinions and choices.",1,Role Stereotyping
"As the man, he's expected to be ambitious and career-driven.",1,Role Stereotyping
"She'll probably want to stay home with the kids; it's a mother's instinct.",1,Maternal Bias
"Being a mother, she might prioritize family over career.",1,Maternal Bias
"He'll focus on his career; that's a father's responsibility.",1,Maternal Bias
"As a mom, she'll likely take a break from work for family reasons.",1,Maternal Bias
"It's expected that she'll be more nurturing as a mother.",1,Maternal Bias
"Since she's a mother, she may not be interested in a demanding job.",1,Maternal Bias
"He might not take on parenting duties; that's typically a mother's role.",1,Maternal Bias
"As a parent, she'll likely choose a flexible job for better work-life balance.",1,Maternal Bias
"Being a mom, she may not want to travel extensively for work.",1,Maternal Bias
"He won't prioritize family events; that's not a mother's concern.",1,Maternal Bias
"Assuming she'll handle childcare, given that she's a mother.",1,Maternal Bias
"As a mother, she may struggle to balance work and family life.",1,Maternal Bias
"Considering she has kids, she'll likely avoid taking on additional responsibilities at work.",1,Maternal Bias
"He may not take paternity leave; that's typically for mothers.",1,Maternal Bias
"She might not be interested in career advancement; mothers often focus on family.",1,Maternal Bias
"Being a mother, she might not be suitable for demanding roles.",1,Maternal Bias
"He may not attend work events; family responsibilities usually fall on mothers.",1,Maternal Bias
"Assuming she'll take a part-time job to manage family commitments as a mother.",1,Maternal Bias
"Since she's a mother, she may not be available for business trips.",1,Maternal Bias
"He won't take parental leave; that's typically for mothers.",1,Maternal Bias
"She might avoid work-related travel; mothers often prioritize being at home.",1,Maternal Bias
"As a mom, she may not be interested in career development opportunities.",1,Maternal Bias
"Considering she's a mother, she may not take on leadership roles at work.",1,Maternal Bias
"He won't participate in after-work activities; mothers usually handle family matters.",1,Maternal Bias
"As a parent, she might not be ambitious in her career.",1,Maternal Bias
"Given that she's a mother, she may not be open to relocation for work.",1,Maternal Bias
"He won't be interested in working long hours; mothers typically prioritize family time.",1,Maternal Bias
"As a mom, she may not want a high-stress job to focus on family.",1,Maternal Bias
"Considering she's a mother, she might not attend late-night work events.",1,Maternal Bias
"He might not aim for career success; mothers usually prioritize their children.",1,Maternal Bias
"As a parent, she may not be as committed to work due to family responsibilities.",1,Maternal Bias
"Given that she's a mother, she might avoid jobs with extensive travel requirements.",1,Maternal Bias
"Since she's a mom, she might not be interested in competitive work environments.",1,Maternal Bias
